,Customer Number,Customer Code,Customer Fuel Unique ID,Customer Location Unique ID,Customer Type,Customer Fuel Type,Zone - Fuel,Usable Size,Optimum Delivery - Fuel,K Factor,Previous K Factor,Previous K Factor (2nd),Last DDay,Next DDay,Run Out DDay,Allow Smart K,Smart K Predictability,Smart K Previous Predictability,Recalc K Factor,Baseload,Estimated Delivery - Fuel,Currently in Tank,% Full,Salesperson - Fuel Acct,Customer Segment,Automatic Delivery,K Factor - Winter,K Factor - Summer,K Factor - Fall,K Factor - Spring,PIDCustomerFuel1
,1000645,,4950913,1000746,,Normal,34E11,250,180,10.00,4.50,4.50,55354,57063,57763,False,,,True,0.00,61,189,75%,,,1,6.00,10.00,5.00,5.00,4950913
,1000646,,4950914,1000747,,Normal,34E11,250,180,10.80,10.00,4.50,94198,96142,96898,False,,,True,0.00,39,211,84%,,,1,5.72,10.00,5.00,5.00,4950914
,1000654,,4950924,1000755,,Normal,34E11,250,180,10.00,4.50,4.50,93046,94730,95430,False,,,True,0.00,169,81,32%,,,1,5.45,10.00,5.00,5.00,4950924
,1000657,,4950927,1000758,,Normal,34E11,250,180,10.00,4.50,4.50,54907,56036,56736,False,,,True,0.00,164,86,34%,,,1,4.64,10.00,5.00,5.00,4950927
,1000658,,4950928,1000759,,Normal,34E11,250,180,10.00,4.50,4.50,53811,56858,57558,False,,,True,0.00,82,168,67%,,,1,4.95,10.00,5.00,5.00,4950928
,1000663,,4950933,1000764,,Normal,34E11,250,180,10.00,4.50,4.50,92465,93533,94233,False,,,True,0.00,288,-38,-16%,,,1,4.95,10.00,5.00,5.00,4950933
,1000664,,4950934,1000765,,Normal,34E11,800,600,10.00,4.50,4.50,54004,56442,58442,False,,,True,0.00,543,257,32%,,,1,2.94,10.00,5.00,5.00,4950934
,1000667,,4950937,1000768,,Normal,34E11,250,180,10.00,4.50,4.50,54879,56679,57379,False,,,True,0.00,100,150,60%,,,1,10.00,10.00,5.00,5.00,4950937
,3648,,4950938,3648,,Normal,34E11,40,35,10.00,4.50,4.50,92057,91466,91516,False,,,True,0.00,72,-32,-775%,,,1,5.45,10.00,5.00,5.00,4950938
,1000668,,4950939,1000769,,Normal,34E11,250,180,8.67,10.00,4.50,93689,95249,95855,False,,,True,0.00,107,143,57%,,,1,5.45,10.00,5.00,5.00,4950939
,1000625,,4950890,1000725,,Normal,34E11,250,180,10.00,4.50,4.50,54683,55945,56645,False,,,True,0.00,173,77,30%,,,1,6.00,10.00,5.00,5.00,4950890
,1000636,,4950904,1000737,,Normal,34E11,250,180,5.94,8.00,4.50,55712,56781,57196,False,,,True,0.00,28,222,89%,,,1,3.75,8.00,5.00,5.00,4950904
,1000705,,4950992,1000813,,Normal,34E11,250,180,4.95,4.50,4.50,55771,56662,57008,False,,,True,0.00,22,228,91%,,,1,4.50,10.00,5.00,5.00,4950992
,1000708,,4950995,1000816,,Normal,34E11,250,180,4.95,4.50,4.50,93857,94748,95094,False,,,True,0.00,154,96,38%,,,1,4.50,10.00,5.00,5.00,4950995
,1000709,,4950996,1000817,,Normal,34E11,250,180,5.45,4.95,4.50,94586,95566,95947,False,,,True,0.00,6,244,98%,,,1,4.50,10.00,5.00,5.00,4950996
,1000715,,4951003,1000823,,Normal,34E11,250,180,4.95,4.50,4.50,94041,94932,95278,False,,,True,0.00,116,134,53%,,,1,4.50,10.00,5.00,5.00,4951003
,1000716,,4951004,1000824,,Normal,34E11,250,180,4.95,4.50,4.50,55654,56545,56891,False,,,True,0.00,45,205,82%,,,1,4.50,10.00,5.00,5.00,4951004
,1000720,,4951009,1000828,,Normal,34E11,250,180,4.95,4.50,4.50,94473,95364,95710,False,,,True,0.00,29,221,88%,,,1,4.50,10.00,5.00,5.00,4951009
,174144,,4951019,1000837,,Normal,34E11,250,180,4.95,4.50,4.50,94090,94981,95327,False,,,True,0.00,107,143,57%,,,1,4.50,10.00,5.00,5.00,4951019
,1000728,,4951022,1000840,,Normal,34E11,250,180,4.50,4.50,4.50,0,55913,56228,False,,,True,0.00,172,78,31%,,,1,4.50,10.00,5.00,5.00,4951022
,346573,,4951027,346573,,Normal,34E11,250,180,4.95,4.50,4.50,94204,95095,95441,False,,,True,0.00,84,166,66%,,,1,4.50,10.00,5.00,5.00,4951027
,1000690,,4950962,1000792,,Normal,34E11,250,180,10.08,10.00,4.50,94285,96099,96804,False,,,True,0.00,33,217,87%,,,1,4.95,10.00,5.00,5.00,4950962
,1000742,,4951038,1000854,Budget,Normal,34E11,250,180,4.95,4.50,4.50,55826,56717,57063,False,,,True,0.00,10,240,96%,,,1,4.50,10.00,5.00,5.00,4951038
,1000747,,4951043,1000859,,Normal,34E11,250,180,4.50,4.50,4.50,0,94661,94976,False,,,True,0.00,170,80,32%,,,1,4.50,10.00,5.00,5.00,4951043
,1000756,,4951052,1000868,,Normal,34E11,250,180,4.95,4.50,4.50,94571,95462,95808,False,,,True,0.00,9,241,96%,,,1,4.50,10.00,5.00,5.00,4951052
,659260,,659260,659260,Budget,,M31K1,247,190,8.64,8.45,6.50,94586,96227,96719,True,,,True,0.00,4,243,98%,,,1,6.49,8.64,7.56,7.56,659260
,404751,,404751,404751,,,M31K1,207,172,13.74,6.83,7.88,92835,95198,95678,True,0.922,,True,0.00,129,78,100%,,,1,6.48,16.67,11.82,11.62,404751
,433009,,433009,433009,,,M31K1,247,190,9.67,8.80,8.00,93164,95000,95551,False,,,True,0.00,150,97,39%,,,1,9.50,9.67,8.00,8.00,433009
,957488,,957488,957488,Budget,,M24K9,247,190,9.03,8.82,11.93,55192,56908,57422,True,0.94,0.94,True,0.00,76,171,100%,,,1,9.30,2.52,10.86,10.86,957488
,957668,,957668,957668,,,M31B6,247,190,8.17,8.72,6.15,94327,95880,96345,True,0.904,0.901,True,0.00,35,212,100%,,,1,5.29,11.51,9.30,9.20,957668
,879689,,879689,879689,,,M31B6,247,190,6.84,7.08,6.44,93490,94789,95178,False,,,True,0.00,165,82,33%,,,1,4.89,7.08,6.55,6.55,879689
,745688,,745688,745688,Budget,,M31B6,247,190,6.96,6.33,6.00,93773,95095,95491,False,,,True,0.00,121,126,51%,,,1,4.86,6.33,4.50,4.50,745688
,533850,,533850,533850,Budget,,M31B6,247,190,5.51,6.14,6.27,93755,94801,95115,True,,,True,0.00,157,90,36%,,,1,3.63,6.14,5.05,5.05,533850
,564845,,564845,564845,Budget,,M31B6,247,190,8.72,8.83,6.14,93773,95430,95927,True,0.864,0.859,True,0.00,97,150,100%,,,1,5.85,9.43,8.64,8.94,564845
,599144,,599144,599144,Budget,,M31B6,247,190,9.93,8.74,7.87,54282,56169,56735,True,0.893,0.893,True,0.00,160,87,100%,,,1,8.60,12.13,11.01,11.32,599144
,589877,,589877,589877,,,M33C9,247,190,10.71,9.51,9.51,54217,56126,56736,False,,,True,0.00,167,80,32%,,,1,9.75,10.71,10.71,10.71,589877
,477963,,477963,477963,,,32A12,247,190,7.70,5.99,4.93,55771,57234,57672,True,,,True,0.00,14,233,94%,,Auto Customer wants call prior to delivery,1,4.58,7.70,6.14,6.14,477963
,510664,,510664,510664,Budget,,32A12,247,190,6.25,5.33,4.74,55701,56888,57244,True,,,True,0.00,28,219,88%,,,1,4.70,6.25,5.48,5.48,510664
,319058,,319058,319058,,,32A12,247,190,7.86,8.19,5.30,93987,95480,95928,True,0.808,0.808,True,0.00,80,167,100%,,,1,4.85,9.07,7.96,8.66,319058
,346610,,346610,346610,,,32A12,247,190,10.74,11.50,10.86,55157,57034,57646,False,,,True,0.00,82,165,66%,,,1,11.00,10.74,10.00,10.00,346610
,659322,,659322,659322,,,32A12,247,190,11.08,13.85,10.75,55334,57439,58070,True,0.969,,True,0.00,49,198,100%,,,1,11.93,13.30,13.07,12.97,659322
,658800,,658800,658800,,,M32A5,247,190,10.61,9.55,7.26,55424,57439,58043,True,0.968,0.897,True,0.00,43,204,100%,,,1,8.53,9.86,14.10,14.50,658800
,742098,,742098,742098,,,M32A5,247,190,7.10,6.37,6.37,55027,56280,56684,True,,,True,0.00,133,114,46%,,,1,5.88,7.10,6.49,6.49,742098
,788964,,788964,788964,,,M32A5,247,206,7.64,7.70,7.00,93238,94811,95124,False,,,True,0.00,181,66,27%,,,1,7.58,7.70,7.00,7.00,788964
,967228,,967228,967228,,,M32A5,247,190,10.19,9.26,8.42,93173,95113,95693,False,,,True,0.00,141,106,43%,,,1,21.14,10.19,7.65,7.65,967228
,342725,,342725,342725,Budget,,M32A5,247,190,11.32,9.64,9.24,93438,95589,96234,False,,0.906,True,0.00,104,143,58%,,,1,7.25,13.35,10.65,11.05,342725
,358716,,358716,358716,,,M32C4,247,190,7.17,5.32,4.76,55192,56554,56962,True,,,True,0.00,95,152,61%,,,1,4.73,7.17,5.95,5.95,358716
,284672,,284672,284672,,,M25A7,247,190,16.12,11.76,11.76,54510,57339,58257,False,,,True,0.00,99,148,60%,,,1,13.02,16.12,16.12,16.12,284672
,259374,,259374,259374,,,M32K6,247,190,14.58,17.18,25.43,93422,96192,97023,False,,,True,0.00,82,165,67%,,,1,6.03,17.18,25.43,25.43,259374
,101135,,101135,101135,,,M32K6,247,190,5.62,5.56,6.00,55692,56759,57079,True,0.878,,True,0.00,33,214,100%,,,1,4.78,3.83,6.75,6.55,101135
,164899,,164899,164899,,,M32K6,495,412,8.70,7.67,7.67,52585,56350,57072,False,,,True,0.00,357,138,28%,,,1,9.28,8.70,8.70,8.70,164899
,956042,,956042,956042,,,M25A1,247,190,6.00,5.45,4.95,55794,56933,57275,False,,,True,0.00,14,233,94%,,,1,5.82,5.45,4.50,4.50,956042
,590365,,590365,590365,Budget,,B35E1,247,190,8.03,7.30,7.00,94571,96096,96553,False,,,True,0.00,6,241,98%,,,1,6.52,7.00,4.50,4.50,590365
,433614,,433614,433614,Budget,,M31K7,247,190,7.17,5.74,5.64,54907,56270,56678,True,0.972,0.972,True,0.00,135,112,100%,,,1,5.33,10.15,8.29,7.79,433614
,652957,,652957,652957,,,29H11,247,190,9.00,13.29,11.35,93125,94818,95331,True,,,True,0.00,168,79,32%,,,1,6.97,9.00,11.25,11.25,652957
,955183,,955183,955183,Budget,,32J12,247,190,7.74,7.04,6.40,93785,95256,95697,False,,,True,0.00,107,140,56%,,,1,6.00,7.04,4.81,4.81,955183
,643672,,643672,643672,Budget,,32J12,495,412,4.27,4.25,4.65,54614,56435,56789,True,,,True,0.00,282,213,43%,,,1,4.60,4.27,4.48,4.48,643672
,229638,,229638,229638,Budget,,32J12,900,500,3.75,2.49,2.05,93078,94951,96451,True,0.867,0.867,True,0.00,411,489,100%,,,1,1.91,4.05,3.13,3.33,229638
,63588,,63588,63588,,,M24C2,495,412,9.29,10.62,6.23,93968,97795,98566,True,,,True,0.00,70,425,86%,,,1,12.25,10.62,11.16,11.16,63588
,81260,,81260,81260,Budget,,31D13,247,190,4.61,5.04,4.64,55701,56576,56838,True,0.914,0.82,True,0.00,39,208,100%,,,1,4.27,2.40,5.23,5.23,81260
,514915,,514915,514915,,,32D12,247,190,3.71,3.54,2.98,55447,56151,56362,True,0.818,0.818,True,0.00,116,131,100%,,,1,2.73,4.24,4.08,3.98,514915
,35970,,35970,35970,,,32G11,247,206,5.45,4.95,4.50,94386,95507,95730,False,,,True,0.00,43,204,83%,,,1,5.28,4.50,4.50,4.50,35970
,505467,,505467,505467,Budget,,31K12,247,190,9.08,8.25,7.50,54645,56432,56949,False,,,True,0.00,129,118,48%,,,1,9.82,9.08,7.50,7.50,505467
